z_A	PHI_DFT_eV	PHI_py_eV	RHOB_DFT_e_A3	RHOB_py_e_A3	RHOION_DFT_e_A3	RHOION_py_e_A3
1.130208333333e+01	-2.400023038269e+00	-1.610312564347e+00	1.671216431323e-04	3.128737530846e-04	2.529181907932e-20	-2.782295674403e-37
1.139322916667e+01	-2.367109294213e+00	-1.551782320615e+00	1.734766133276e-04	4.034828844058e-04	6.803084712350e-20	-2.844117969038e-37
1.148437500000e+01	-2.319403179822e+00	-1.478354645739e+00	1.496057970054e-04	4.607573166372e-04	-1.097499100048e-20	-2.883938557384e-37
1.157552083333e+01	-2.240559892880e+00	-1.373705191603e+00	1.074710457494e-04	4.805458572282e-04	1.649950614225e-20	-2.966782348161e-37
1.166666666667e+01	-2.167021564608e+00	-1.274301468295e+00	6.304980111424e-05	4.700955979937e-04	-6.045120549581e-20	-3.091832616836e-37
1.175781250000e+01	-2.128825881384e+00	-1.210155620174e+00	2.794433033351e-05	4.380117886975e-04	-1.059948423850e-20	-3.301376595057e-37
1.184895833333e+01	-2.169152079087e+00	-1.224432161776e+00	5.147928571705e-06	3.901087382419e-04	-6.381395037731e-20	-3.606844542084e-37
1.194010416667e+01	-2.303521828825e+00	-1.332610609384e+00	-8.723327149434e-06	3.304253875865e-04	-2.369524697505e-20	-4.078356880205e-37
1.203125000000e+01	-2.478930167024e+00	-1.481683838059e+00	-1.756961103614e-05	2.624934366037e-04	-6.409102069646e-20	-4.731695164968e-37
1.212239583333e+01	-2.654423394216e+00	-1.630684695385e+00	-2.289503463661e-05	1.894474924797e-04	-5.022184104513e-20	-5.612659062314e-37
1.221354166667e+01	-2.821452348033e+00	-1.771102427387e+00	-2.481238469104e-05	1.139315689181e-04	-8.897927508573e-20	-6.776756992723e-37
1.230468750000e+01	-2.959338341909e+00	-1.882279316717e+00	-2.351192962422e-05	3.861881593041e-05	-9.016347413270e-21	-8.295468726855e-37
1.239583333333e+01	-3.044057499501e+00	-1.940243060098e+00	-1.956119274560e-05	-3.326112237297e-05	-5.255323686796e-20	-1.025550019030e-36
1.248697916667e+01	-3.062401462383e+00	-1.931801459072e+00	-1.356334655234e-05	-9.790948735927e-05	-7.181116501357e-20	-1.272703347334e-36
1.257812500000e+01	-3.021142331723e+00	-1.863753741246e+00	-6.282705420516e-06	-1.514430895902e-04	-6.675020113858e-20	-1.588119452629e-36
1.266927083333e+01	-2.933780533985e+00	-1.749580054497e+00	1.070211735543e-06	-1.905420102961e-04	-4.449805256177e-20	-1.990568985131e-36
1.276041666667e+01	-2.811491492968e+00	-1.600456709378e+00	6.949776834638e-06	-2.135837519715e-04	-7.758592030496e-20	-2.506604946497e-36
1.285156250000e+01	-2.698457266310e+00	-1.460535302287e+00	9.780691259323e-06	-2.212694631222e-04	-2.343825208947e-20	-3.164800517936e-36
1.294270833333e+01	-2.638229306570e+00	-1.373367389932e+00	8.500267413440e-06	-2.165334633590e-04	-5.794088596630e-20	-4.009384281634e-36
1.303385416667e+01	-2.646258935097e+00	-1.354375096769e+00	3.163382819984e-06	-2.035727916258e-04	-6.699354497986e-20	-5.087748158970e-36
1.312500000000e+01	-2.706611535747e+00	-1.387618478930e+00	-5.260548029090e-06	-1.867821586434e-04	-9.833005156311e-20	-6.462218138299e-36
1.321614583333e+01	-2.774678068429e+00	-1.428458001915e+00	-1.561569843655e-05	-1.692456821210e-04	-5.136695568974e-20	-8.210257777906e-36
1.330729166667e+01	-2.813283741033e+00	-1.439731731812e+00	-2.694360380297e-05	-1.517469638946e-04	-1.043190006179e-19	-1.042748914484e-35
1.339843750000e+01	-2.854655377321e+00	-1.453648376008e+00	-3.836616251715e-05	-1.324411682656e-04	-5.610355655191e-20	-1.324025468584e-35
1.348958333333e+01	-2.927472542920e+00	-1.498912377497e+00	-4.910285955743e-05	-1.080599748427e-04	-3.819774173133e-20	-1.680732048118e-35
1.358072916667e+01	-3.022050196874e+00	-1.565838894943e+00	-5.871170590549e-05	-7.553069559624e-05	-7.411594535600e-20	-2.129667783891e-35
1.367187500000e+01	-3.103953430195e+00	-1.620019000174e+00	-6.719800013954e-05	-3.393679235884e-05	-6.450262818555e-20	-2.703458096673e-35
1.376302083333e+01	-3.155719926311e+00	-1.643980222808e+00	-7.477035770214e-05	1.479921898637e-05	-7.120427138053e-21	-3.426638355443e-35
1.385416666667e+01	-3.173009827723e+00	-1.633393938355e+00	-8.165503404605e-05	6.636939507308e-05	-7.024961450587e-20	-4.371565573266e-35
1.394531250000e+01	-3.189079774176e+00	-1.621493566865e+00	-8.810642763627e-05	1.162006131376e-04	-2.292962233516e-20	-5.618951889411e-35
1.403645833333e+01	-3.232216207812e+00	-1.636568444116e+00	-9.449282045855e-05	1.610498420545e-04	-2.731774244450e-20	-7.306017309115e-35
1.412760416667e+01	-3.291190752658e+00	-1.667358986210e+00	-1.013997087681e-04	1.999694408581e-04	-2.856941903695e-20	-9.640036163576e-35
1.421875000000e+01	-3.308125326283e+00	-1.655995885205e+00	-1.103147345629e-04	2.337604632458e-04	-7.512298288597e-21	-1.294451881936e-34
1.430989583333e+01	-3.227962366422e+00	-1.547410314552e+00	-1.248875486600e-04	2.645453757483e-04	5.168166612108e-20	-1.773510960898e-34
1.440104166667e+01	-3.063025689638e+00	-1.353963717228e+00	-1.511582484654e-04	2.950320599023e-04	-2.336660270515e-20	-2.480408082307e-34
1.449218750000e+01	-2.885282401618e+00	-1.147647991873e+00	-1.935868836252e-04	3.309111351996e-04	4.149910278452e-20	-3.567816451321e-34
1.458333333333e+01	-2.785482061195e+00	-1.019294141383e+00	-2.469234679620e-04	3.883787711885e-04	1.832744741019e-20	-5.295733788962e-34
1.467447916667e+01	-2.811883665132e+00	-1.017221273555e+00	-2.923720011447e-04	5.005616282599e-04	3.023649134799e-20	-8.135115411074e-34
1.476562500000e+01	-2.923668666788e+00	-1.100678419697e+00	-3.097522342441e-04	6.970303617253e-04	-1.100202894943e-20	-1.296461485493e-33
1.485677083333e+01	-3.061622805757e+00	-1.210424388638e+00	-3.004516032767e-04	9.553356691090e-04	-5.788966568876e-21	-2.148045557400e-33
