z_A	valence_CHGCAR_e_A3	dencor_e_A3	phi_hartree_eV	phi_local_eV	phi_sol_no_dipole_eV
5.195312500000e+00	2.110868302601e-02	2.340149714466e-08	6.078396503064e+02	-6.073672250342e+02	4.724252721479e-01
5.286458333333e+00	2.899811028683e-02	1.120096347316e-08	6.284382381567e+02	-6.280684948609e+02	3.697432957996e-01
5.377604166667e+00	3.984392217615e-02	7.095051461623e-08	6.491424891550e+02	-6.489192160866e+02	2.232730684298e-01
5.468750000000e+00	5.470936551179e-02	1.117009974913e-07	6.699359660841e+02	-6.699191972678e+02	1.676881630416e-02
5.559895833333e+00	7.496327476019e-02	3.272797942996e-07	6.907961508835e+02	-6.910688612365e+02	-2.727103530103e-01
5.651041666667e+00	1.023332944347e-01	7.715448955403e-07	7.116923802361e+02	-7.123673200840e+02	-6.749398478824e-01
5.742187500000e+00	1.389564942613e-01	2.322298327390e-06	7.325832416209e+02	-7.338165706413e+02	-1.233329020413e+00
5.833333333333e+00	1.873645096663e-01	7.706503633245e-06	7.534133619093e+02	-7.554005160400e+02	-1.987154130775e+00
5.924479166667e+00	2.502767479976e-01	3.010757029557e-05	7.741096261441e+02	-7.771057807181e+02	-2.996154573996e+00
6.015625000000e+00	3.300461338889e-01	1.288391484876e-04	7.945771592126e+02	-7.990328957803e+02	-4.455736567710e+00
6.106770833333e+00	4.277423800652e-01	5.091219074864e-04	8.146959037015e+02	-8.212387627762e+02	-6.542859074650e+00
6.197916666667e+00	5.419911208616e-01	1.585442996641e-03	8.343191609161e+02	-8.436200569832e+02	-9.300896067122e+00
6.289062500000e+00	6.680686606334e-01	3.887020213372e-03	8.532757746139e+02	-8.658018309265e+02	-1.252605631266e+01
6.380208333333e+00	7.979556957322e-01	7.786973774037e-03	8.713772293124e+02	-8.871297478916e+02	-1.575251857925e+01
6.471354166667e+00	9.217025946517e-01	1.313928008558e-02	8.884295268294e+02	-9.069232974280e+02	-1.849377059861e+01
6.562500000000e+00	1.029235707404e+00	1.910138965406e-02	9.042479123348e+02	-9.247656118007e+02	-2.051769946586e+01
6.653645833333e+00	1.111780058760e+00	2.434956180067e-02	9.186718367257e+02	-9.405429024589e+02	-2.187106573323e+01
6.744791666667e+00	1.162539779548e+00	2.760745509538e-02	9.315780653174e+02	-9.543056822451e+02	-2.272761692773e+01
6.835937500000e+00	1.176971019500e+00	2.820287103519e-02	9.428908641164e+02	-9.660201865099e+02	-2.312932239349e+01
6.927083333333e+00	1.153250551230e+00	2.633074781685e-02	9.525887727108e+02	-9.754897565835e+02	-2.290098387271e+01
7.018229166667e+00	1.093041318512e+00	2.287281783952e-02	9.607072447841e+02	-9.824825217340e+02	-2.177527694983e+01
7.109375000000e+00	1.001949471478e+00	1.891342465632e-02	9.673360857373e+02	-9.869831907766e+02	-1.964710503935e+01
