z_A	RHOB_DFT_e_A3	RHOB_py_refphi_e_A3	RHOION_DFT_e_A3	RHOION_py_refphi_e_A3
3.828125000000e+00	-3.071785233970e-11	-2.042575733143e-11	-6.765702278327e-20	0.000000000000e+00
3.919270833333e+00	3.280141124575e-11	2.266426082670e-11	-8.465022286458e-20	0.000000000000e+00
4.010416666667e+00	-3.489015113046e-11	-2.498609562302e-11	-7.875106895078e-20	0.000000000000e+00
4.101562500000e+00	3.698452401426e-11	2.692169960548e-11	-9.253829403813e-20	0.000000000000e+00
4.192708333333e+00	-3.908498203330e-11	-3.056035243459e-11	-8.432622696208e-20	0.000000000000e+00
4.283854166667e+00	4.119198757913e-11	2.759064237681e-11	-1.103283048833e-19	0.000000000000e+00
4.375000000000e+00	-4.330599943445e-11	-4.737394742052e-11	-1.887350171289e-20	0.000000000000e+00
4.466145833333e+00	4.542749226598e-11	-1.599799993495e-12	-1.530717752842e-20	0.000000000000e+00
4.557291666667e+00	-4.755693706384e-11	-1.317013589812e-10	-1.306571227429e-20	0.000000000000e+00
4.648437500000e+00	4.969481799198e-11	-1.597206129848e-10	1.738442365127e-22	0.000000000000e+00
4.739583333333e+00	-5.184162163683e-11	-4.248595001468e-10	-3.203664968359e-20	0.000000000000e+00
4.830729166667e+00	5.399784602223e-11	-6.034848404994e-10	-1.188182413882e-20	0.000000000000e+00
4.921875000000e+00	-5.616399298517e-11	-1.030411728227e-09	7.321818736984e-21	0.000000000000e+00
5.013020833333e+00	5.834057694511e-11	-1.236900024916e-09	1.696580554658e-20	0.000000000000e+00
5.104166666667e+00	-6.052811799128e-11	-1.405935108655e-09	6.845672107898e-21	0.000000000000e+00
5.195312500000e+00	6.272714900809e-11	-8.853477254254e-10	7.541752427171e-21	0.000000000000e+00
5.286458333333e+00	-6.493821022039e-11	-7.261072116461e-11	-2.802577513405e-20	0.000000000000e+00
5.377604166667e+00	6.716185545191e-11	1.098025734332e-09	-1.151390443165e-20	0.000000000000e+00
