z_A	nval_CHGCAR	nval_DBG	dencor_py	dencor_DBG	ne_py	ne_DBG	phisol_py_eV	cvhar_DBG_eV	cvdip_DBG_eV	phisol_DBG_eV	phi_final_DBG_eV
2.187500000000e+01	9.705928958550e-04	9.705928958444e-04	2.565881865828e-06	7.020106382223e-06	9.731587777208e-04	9.776130022554e-04	2.120818757444e+00	2.120888297184e+00	-3.872164142100e-02	2.082166655763e+00	2.564943470757e-02
2.196614583333e+01	1.228547098277e-03	1.228547098284e-03	-1.753326976769e-06	-6.207580341622e-06	1.226793771300e-03	1.222339517964e-03	2.091592973422e+00	2.091658026243e+00	-3.952834228400e-02	2.052129683959e+00	2.487165865607e-02
2.205729166667e+01	-7.668366549972e-04	-7.668366548886e-04	2.172380061637e-06	6.626641722810e-06	-7.646642749355e-04	-7.602100131462e-04	2.062617479672e+00	2.062685529354e+00	-4.033504314700e-02	2.022350486208e+00	2.415070688074e-02
2.214843750000e+01	-1.004121824062e-03	-1.004121823626e-03	-1.705048911875e-06	-6.159333046717e-06	-1.005826872973e-03	-1.010281156643e-03	2.033844800208e+00	2.033908362890e+00	-4.114174401000e-02	1.992766618881e+00	2.342378958299e-02
2.223958333333e+01	9.558199325617e-04	9.558199319305e-04	2.088208358269e-06	6.542508004115e-06	9.579081409200e-04	9.623624399414e-04	2.005321863005e+00	2.005388422633e+00	-4.194844487300e-02	1.963439977760e+00	2.275185260976e-02
2.233072916667e+01	1.162798546452e-03	1.162798546520e-03	-1.308079468150e-06	-5.762398213217e-06	1.161490466984e-03	1.157036148336e-03	1.977002372393e+00	1.977064444936e+00	-4.275514573600e-02	1.934309299201e+00	2.207368168312e-02
2.242187500000e+01	-7.712489900105e-04	-7.712489902600e-04	2.239729678931e-06	6.694069604917e-06	-7.690092603315e-04	-7.645549206393e-04	1.948931277889e+00	1.948996347463e+00	-4.356184659900e-02	1.905434500864e+00	2.144798210047e-02
2.251302083333e+01	-9.537880225215e-04	-9.537880223052e-04	-9.404392992859e-07	-5.394788774913e-06	-9.547284618208e-04	-9.591828110506e-04	1.921064896119e+00	1.921125478521e+00	-4.436854746200e-02	1.876756931060e+00	2.081531704836e-02
2.260416666667e+01	9.563118562614e-04	9.563118558020e-04	2.080251106960e-06	6.534622033662e-06	9.583921073683e-04	9.628464778349e-04	1.893446361119e+00	1.893509940640e+00	-4.517524832400e-02	1.848334692316e+00	2.023254470495e-02
2.269531250000e+01	1.118464725078e-03	1.118464725481e-03	-1.022915628956e-06	-5.477310005066e-06	1.117441809449e-03	1.112987415511e-03	1.866033174278e+00	1.866092266540e+00	-4.598194918700e-02	1.820110317353e+00	1.964204830053e-02
2.278645833333e+01	-7.666253630046e-04	-7.666253626994e-04	1.582464514913e-06	6.036864954041e-06	-7.650428984897e-04	-7.605884977000e-04	1.838866509007e+00	1.838928598475e+00	-4.678865005000e-02	1.792139948424e+00	1.909899397865e-02
2.287760416667e+01	-9.062862731603e-04	-9.062862722124e-04	-1.156719196286e-06	-5.611144112134e-06	-9.074429923566e-04	-9.118974162720e-04	1.811906435148e+00	1.811964037268e+00	-4.759535091300e-02	1.764368686354e+00	1.854805691048e-02
2.296875000000e+01	9.601217337348e-04	9.601217344121e-04	1.288528832995e-06	5.742969956042e-06	9.614102625678e-04	9.658647044463e-04	1.785192319789e+00	1.785252919206e+00	-4.840205177600e-02	1.736850867429e+00	1.804257960790e-02
2.305989583333e+01	1.082592266516e-03	1.082592266998e-03	-1.021300471684e-06	-5.475756551531e-06	1.081570966044e-03	1.077116510486e-03	1.758685405878e+00	1.758741517855e+00	-4.920875263900e-02	1.709532765216e+00	1.752873985840e-02
