z_A	nval_CHGCAR	nval_DBG	dencor_py	dencor_DBG	ne_py	ne_DBG	phisol_py_eV	phisol_DBG_eV	phi_final_DBG_eV
3.463541666667e+00	3.757049805573e-01	3.757049805573e-01	-3.038153420228e-05	-2.592199353005e-05	3.756745990231e-01	3.756790585634e-01	5.311114897778e-01	7.728477868773e-01	6.086629267495e-01
3.554687500000e+00	5.120961110068e-01	5.120961110067e-01	3.137892066341e-05	2.691926151968e-05	5.121274899275e-01	5.121230302681e-01	5.428161128748e-01	7.829777499242e-01	6.083821978428e-01
3.645833333333e+00	7.077965587640e-01	7.077965587639e-01	-3.262256401763e-05	-2.816278388528e-05	7.077639361999e-01	7.077683959798e-01	5.545454688198e-01	7.931399868791e-01	6.079073819895e-01
3.736979166667e+00	9.713683534216e-01	9.713683534216e-01	3.364037028016e-05	2.918045991898e-05	9.714019937919e-01	9.713975338816e-01	5.664253991495e-01	8.034452546182e-01	6.073492357922e-01
3.828125000000e+00	1.321445417481e+00	1.321445417481e+00	-3.503034998498e-05	-3.057030356610e-05	1.321410387131e+00	1.321414847177e+00	5.782237823547e-01	8.136765215993e-01	6.064907279786e-01
3.919270833333e+00	1.804420368302e+00	1.804420368302e+00	3.643574283907e-05	3.197555670367e-05	1.804456804045e+00	1.804452343858e+00	5.900343400158e-01	8.239124136490e-01	6.054104841090e-01
4.010416666667e+00	2.475878856980e+00	2.475878856980e+00	-3.769775310114e-05	-3.323741204668e-05	2.475841159227e+00	2.475845619568e+00	6.015713517638e-01	8.338823124855e-01	6.038378861644e-01
4.101562500000e+00	3.386671566693e+00	3.386671566693e+00	3.971845579180e-05	3.525796073465e-05	3.386711285149e+00	3.386706824654e+00	6.128584929810e-01	8.435947844398e-01	6.017815002164e-01
4.192708333333e+00	4.610965241056e+00	4.610965241056e+00	-4.094890893014e-05	-3.648824206550e-05	4.610924292147e+00	4.610928752815e+00	6.235108678735e-01	8.526800504560e-01	5.988715474652e-01
4.283854166667e+00	6.275342270749e+00	6.275342270749e+00	4.341774800300e-05	3.895690329566e-05	6.275385688497e+00	6.275381227651e+00	6.334266259194e-01	8.610211347583e-01	5.949910518822e-01
4.375000000000e+00	8.548510140074e+00	8.548510140074e+00	-4.504693742104e-05	-4.058590530137e-05	8.548465093137e+00	8.548469554168e+00	6.420483754748e-01	8.680757804484e-01	5.895977568184e-01
4.466145833333e+00	1.163422856394e+01	1.163422856394e+01	4.776555348152e-05	4.330430921078e-05	1.163427632949e+01	1.163427186825e+01	6.490341732917e-01	8.734868988874e-01	5.823345733890e-01
4.557291666667e+00	1.581374246990e+01	1.581374246990e+01	-4.999047393008e-05	-4.552903135635e-05	1.581369247943e+01	1.581369694087e+01	6.535060343177e-01	8.763916624261e-01	5.723386741875e-01
4.648437500000e+00	2.149972653694e+01	2.149972653694e+01	5.352091148751e-05	4.905919207442e-05	2.149978005785e+01	2.149977559613e+01	6.546808866064e-01	8.759918280628e-01	5.588118159730e-01
4.739583333333e+00	2.926173748525e+01	2.926173748525e+01	-5.523456872777e-05	-5.077268441716e-05	2.926168225068e+01	2.926168671257e+01	6.510956160713e-01	8.708394684083e-01	5.403060715918e-01
4.830729166667e+00	3.987301720253e+01	3.987301720253e+01	6.284066439656e-05	5.837830894933e-05	3.987308004319e+01	3.987307558084e+01	6.411362155243e-01	8.593053714877e-01	5.151922288367e-01
