z_A	PHI_DFT_eV	PHI_py_eV	RHOB_DFT_e_A3	RHOB_py_e_A3	RHOION_DFT_e_A3	RHOION_py_e_A3
9.843750000000e+00	-3.566002212044e+00	-1.143437811136e+00	-6.636928523688e-06	6.429325621032e-06	-1.195153751958e-20	-1.449261713208e-37
9.934895833333e+00	-3.655612124950e+00	-1.249845769382e+00	-9.496609350651e-06	2.816393493839e-05	-4.392805561946e-20	-1.668459894638e-37
1.002604166667e+01	-3.649406720457e+00	-1.260414381232e+00	-1.007727941229e-05	4.216785618606e-05	-3.497726326010e-20	-1.905179623410e-37
1.011718750000e+01	-3.590833100064e+00	-1.218561048917e+00	-9.155496362938e-06	4.662639649552e-05	-6.961590670248e-20	-2.153878074911e-37
1.020833333333e+01	-3.503476800098e+00	-1.147882101036e+00	-7.742827703321e-06	4.298530591958e-05	-3.262433649288e-20	-2.395654448090e-37
1.029947916667e+01	-3.368315637308e+00	-1.029344527279e+00	-6.279363716150e-06	3.414440955032e-05	-5.772746645949e-20	-2.646366887248e-37
1.039062500000e+01	-3.180444177541e+00	-8.580638147501e-01	-4.744333207801e-06	2.382952065757e-05	-2.158030386092e-20	-2.864720725466e-37
1.048177083333e+01	-2.965264160443e+00	-6.594251057462e-01	-3.152246216570e-06	1.464108160449e-05	-7.143073100001e-20	-3.085698030079e-37
1.057291666667e+01	-2.783901281109e+00	-4.945699411917e-01	-1.704503332183e-06	8.068891244688e-06	-1.472434029262e-20	-3.305206347523e-37
1.066406250000e+01	-2.693157554012e+00	-4.202874063680e-01	-4.619538791741e-07	4.164000107660e-06	-7.007492364939e-20	-3.510070744928e-37
1.075520833333e+01	-2.679698353132e+00	-4.232671527895e-01	1.236960480820e-06	3.140017051827e-06	-2.966665223446e-20	-3.701771320339e-37
1.084635416667e+01	-2.687854007054e+00	-4.478310221056e-01	5.659794729825e-06	6.261275974597e-06	1.997283698734e-21	-3.857977316981e-37
1.093750000000e+01	-2.660693881878e+00	-4.370613582763e-01	1.753255176962e-05	1.760887929548e-05	-4.073049037458e-20	-3.883283312373e-37
1.102864583333e+01	-2.590214345557e+00	-3.829378508613e-01	4.299766947730e-05	4.225394106300e-05	-5.374778095784e-20	-3.839627034752e-37
1.111979166667e+01	-2.507790939322e+00	-3.168444559730e-01	8.416256689028e-05	7.919098055789e-05	-2.440216305459e-20	-3.824173391575e-37
1.121093750000e+01	-2.442263013537e+00	-2.675946221443e-01	1.319415893665e-04	1.085186738542e-04	-9.065962127140e-21	-3.839106304528e-37
1.130208333333e+01	-2.400023038269e+00	-2.415999926027e-01	1.671216431323e-04	8.860232495908e-05	2.529181907932e-20	-3.869620598030e-37
1.139322916667e+01	-2.367109294213e+00	-2.249114296061e-01	1.734766133276e-04	-2.007396987872e-05	6.803084712350e-20	-3.884420119776e-37
1.148437500000e+01	-2.319403179822e+00	-1.934759041663e-01	1.496057970054e-04	-2.105979029700e-04	-1.097499100048e-20	-3.910935525872e-37
1.157552083333e+01	-2.240559892880e+00	-1.309801783120e-01	1.074710457494e-04	-4.153636878235e-04	1.649950614225e-20	-3.904785793497e-37
1.166666666667e+01	-2.167021564608e+00	-7.391408203407e-02	6.304980111424e-05	-5.542172399993e-04	-6.045120549581e-20	-3.938597791080e-37
1.175781250000e+01	-2.128825881384e+00	-5.232485159625e-02	2.794433033351e-05	-5.951212215160e-04	-1.059948423850e-20	-4.055443300359e-37
1.184895833333e+01	-2.169152079087e+00	-1.094163207237e-01	5.147928571705e-06	-5.575158182648e-04	-6.381395037731e-20	-4.272458203408e-37
1.194010416667e+01	-2.303521828825e+00	-2.606968092452e-01	-8.723327149434e-06	-4.757042999408e-04	-2.369524697505e-20	-4.673068205526e-37
1.203125000000e+01	-2.478930167024e+00	-4.531655048451e-01	-1.756961103614e-05	-3.744066056529e-04	-6.409102069646e-20	-5.264797565626e-37
1.212239583333e+01	-2.654423394216e+00	-6.458348445458e-01	-2.289503463661e-05	-2.675604768375e-04	-5.022184104513e-20	-6.097657029060e-37
1.221354166667e+01	-2.821452348033e+00	-8.301494661789e-01	-2.481238469104e-05	-1.630086373052e-04	-8.897927508573e-20	-7.211065900148e-37
1.230468750000e+01	-2.959338341909e+00	-9.853898131447e-01	-2.351192962422e-05	-6.470385545944e-05	-9.016347413270e-21	-8.690138331024e-37
1.239583333333e+01	-3.044057499501e+00	-1.087514184660e+00	-1.956119274560e-05	2.641417752941e-05	-5.255323686796e-20	-1.063528006012e-36
1.248697916667e+01	-3.062401462383e+00	-1.123264149875e+00	-1.356334655234e-05	1.105928234201e-04	-7.181116501357e-20	-1.315435234392e-36
1.257812500000e+01	-3.021142331723e+00	-1.099385017648e+00	-6.282705420516e-06	1.873178260212e-04	-6.675020113858e-20	-1.636193732240e-36
