# units: z_A in Angstrom; densities in e/A^3; diff = reproduction - DFT
z_A	RHOB_DFT_e_per_A3	RHOB_repro_e_per_A3	RHOB_diff_e_per_A3	RHOION_DFT_e_per_A3	RHOION_repro_e_per_A3	RHOION_diff_e_per_A3
1.184895833333	-2.9435751688512397e-11	-2.9435849138136098e-11	-9.7449623700384894e-17	-4.2473967410915877e-20	-2.7937094582968030e-20	1.4536872827947848e-20
1.276041666667	2.7308679425940501e-11	2.7308774939374641e-11	9.5513434140360937e-17	-3.1599521756787455e-20	-1.6607307338287907e-20	1.4992214418499548e-20
1.367187500000	-2.5189757460156524e-11	-2.5189850451118143e-11	-9.2990961619153360e-17	-5.3460508539540603e-20	-4.0552203780895953e-20	1.2908304758644650e-20
1.458333333333	2.3078447508030109e-11	2.3078538678717385e-11	9.1170687275897766e-17	-5.6264524266001769e-20	-4.4341090050080125e-20	1.1923434215921643e-20
1.549479166667	-2.0974227066934871e-11	-2.0974315766483830e-11	-8.8699548959888596e-17	-5.8452829314916093e-20	-4.6901220378317349e-20	1.1551608936598744e-20
1.640625000000	1.8876580870038104e-11	1.8876667842317803e-11	8.6972279699549993e-17	-8.1441582456562565e-20	-6.9366515789025175e-20	1.2075066667537390e-20
1.731770833333	-1.6785002891948164e-11	-1.6785087402144161e-11	-8.4510195996562687e-17	-8.6370081370003225e-20	-7.4960479778234133e-20	1.1409601591769092e-20
1.822916666667	1.4698996793956073e-11	1.4699079681263002e-11	8.2887306929043918e-17	-2.7645675964960625e-20	-1.4450543023920380e-20	1.3195132941040245e-20
1.914062500000	-1.2618074664346749e-11	-1.2618155140393083e-11	-8.0476046333802863e-17	-8.0602125065608586e-20	-6.7672645072022440e-20	1.2929479993586146e-20
2.005208333333	1.0541752794199123e-11	1.0541831681506015e-11	7.8887306891191940e-17	-6.8373797082179077e-20	-5.3823301026230147e-20	1.4550496055948930e-20
2.096354166667	-8.4695589074463686e-12	-8.4696354636359969e-12	-7.6556189628302646e-17	-9.5011354169562196e-20	-8.1531169988917083e-20	1.3480184180645113e-20
2.187500000000	6.4010228536964118e-12	6.4010978543257950e-12	7.5000629383145996e-17	-4.3227983469052366e-20	-2.6606016352788883e-20	1.6621967116263484e-20
2.278645833333	-4.3356823896355151e-12	-4.3357551412209449e-12	-7.2751585429767437e-17	-3.9761020002444520e-20	-2.4102303958238483e-20	1.5658716044206036e-20
2.369791666667	2.2730792589485411e-12	2.2731504350868679e-12	7.1176138326831946e-17	-5.2920466009054453e-20	-3.7208737838195518e-20	1.5711728170858935e-20
2.460937500000	-2.1276089545080345e-13	-2.1282997433402340e-13	-6.9078883219948910e-17	-7.5477866287812586e-20	-6.1421804563849098e-20	1.4056061723963488e-20
2.552083333333	-1.8457230781103963e-12	-1.8456556301014538e-12	6.7448008942500703e-17	-8.8034484452088212e-20	-7.3514492580753829e-20	1.4519991871334383e-20
2.643229166667	3.9028180482208127e-12	3.9027525444027353e-12	-6.5503818077336218e-17	-7.8318457420114851e-20	-6.6386878883105580e-20	1.1931578537009271e-20
2.734375000000	-5.9589651157623701e-12	-5.9589013150015864e-12	6.3800760783691335e-17	-5.7720284648581799e-20	-4.6523768113369322e-20	1.1196516535212478e-20
2.825520833333	8.0146072461372478e-12	8.0145452257451452e-12	-6.2020392102610233e-17	-6.4728695100593270e-20	-5.6368623497807433e-20	8.3600716027858374e-21
2.916666666667	-1.0070179677981710e-11	-1.0070119440773240e-11	6.0237208470166857e-17	-5.3152801279201865e-20	-4.7917927812665042e-20	5.2348734665368229e-21
3.007812500000	1.2126120084456062e-11	1.2126061491904201e-11	-5.8592551860485418e-17	-7.8768616260885838e-20	-7.6593490204436022e-20	2.1751260564498155e-21
