z_A	RHOB_DFT_e_A3	RHOB_step05_e_A3	RHOB_step05_minus_DFT_e_A3	RHOION_DFT_e_A3	RHOION_step05_e_A3	RHOION_step05_minus_DFT_e_A3
5.104166666667e+00	-6.052811799128e-11	-6.053068214062e-11	-2.56415e-15	6.845672107898e-21	3.103556453787e-20	2.41899e-20
5.195312500000e+00	6.272714900809e-11	6.272962025786e-11	2.47125e-15	7.541752427171e-21	2.907911350372e-20	2.15374e-20
5.286458333333e+00	-6.493821022039e-11	-6.494059041498e-11	-2.38019e-15	-2.802577513405e-20	-8.778967356251e-21	1.92468e-20
5.377604166667e+00	6.716185545191e-11	6.716414487707e-11	2.28943e-15	-1.151390443165e-20	3.138747324986e-21	1.46527e-20
5.468750000000e+00	-6.939864957459e-11	-6.940085031341e-11	-2.20074e-15	5.303729999730e-21	1.811076752895e-20	1.2807e-20
5.559895833333e+00	7.164916778529e-11	7.165128003988e-11	2.11225e-15	1.433292236786e-20	2.372392620226e-20	9.391e-21
5.651041666667e+00	-7.391400125292e-11	-7.391602722097e-11	-2.02597e-15	-2.328033372032e-21	4.035587473938e-21	6.36362e-21
5.742187500000e+00	7.619375428752e-11	7.619569423026e-11	1.93994e-15	2.381840032741e-20	2.752283553939e-20	3.70444e-21
5.833333333333e+00	-7.848904337958e-11	-7.849089953276e-11	-1.85615e-15	-3.240414135109e-20	-3.027231612806e-20	2.13183e-21
5.924479166667e+00	8.080050526371e-11	8.080227798940e-11	1.77273e-15	9.299178348944e-21	7.105303579301e-21	-2.19387e-21
6.015625000000e+00	-8.312878786292e-11	-8.313047936930e-11	-1.69151e-15	5.653172061409e-21	2.833827961934e-21	-2.81934e-21
6.106770833333e+00	8.547456076118e-11	8.547617174499e-11	1.61098e-15	3.988345783930e-21	-4.926910828803e-22	-4.48104e-21
6.197916666667e+00	-8.783850853763e-11	-8.784004107835e-11	-1.53254e-15	6.190159847704e-21	2.611576079334e-21	-3.57858e-21
6.289062500000e+00	9.022133868988e-11	9.022279374528e-11	1.45506e-15	2.619629937346e-20	2.013143182463e-20	-6.06487e-21
6.380208333333e+00	-9.262377437145e-11	-9.262515406928e-11	-1.3797e-15	-2.229248202448e-20	-2.910041356925e-20	-6.80793e-21
6.471354166667e+00	9.504656525491e-11	9.504787074469e-11	1.30549e-15	1.360550353471e-20	6.116676706623e-21	-7.48883e-21
6.562500000000e+00	-9.749048078138e-11	-9.749171430477e-11	-1.23352e-15	-2.606216650974e-20	-3.369780160358e-20	-7.63564e-21
6.653645833333e+00	9.995631479372e-11	9.995747770783e-11	1.16291e-15	-2.167154232987e-20	-3.110157406879e-20	-9.43003e-21
