z_A	PHI_DFT_e_A3	PHI_step01_e_A3	RHOB_DFT_e_A3	RHOB_step01_e_A3	RHOION_DFT_e_A3	RHOION_step01_e_A3	PHI_step02_e_A3	RHOB_step02_e_A3	RHOION_step02_e_A3	PHI_step03_e_A3	RHOB_step03_e_A3	RHOION_step03_e_A3	PHI_step04_e_A3	RHOB_step04_e_A3	RHOION_step04_e_A3	PHI_step05_e_A3	RHOB_step05_e_A3	RHOION_step05_e_A3
4.739583333333e+00	8.135738916708e-05	3.803533614365e-05	-5.184162163683e-11	-4.561967753855e-11	-3.203664968359e-20	-3.307882663141e-20	5.934737032692e-05	-4.865091970624e-11	-1.086798942860e-19	8.138243472310e-05	-5.162514530595e-11	6.768552790712e-20	8.130139196131e-05	-5.180881367263e-11	2.527434580837e-20	8.132854520979e-05	-5.184456683691e-11	1.545495993731e-21
4.830729166667e+00	7.757580402373e-05	3.463141462280e-05	5.399784602223e-11	4.764571689393e-11	-1.188182413882e-20	-1.602521049512e-20	5.575845288359e-05	5.074579653798e-11	-9.093815705340e-20	7.760113999329e-05	5.378233449143e-11	8.499235839124e-20	7.752027651489e-05	5.396454103866e-11	3.744462699385e-20	7.754721813603e-05	5.400069420763e-11	1.794519718235e-20
4.921875000000e+00	7.241474202549e-05	2.984801609088e-05	-5.616399298517e-11	-4.967950758594e-11	7.321818736984e-21	2.773659620440e-21	5.079005858584e-05	-5.284953094381e-11	-7.221147523871e-20	7.244036840849e-05	-5.594945238486e-11	1.051501455073e-19	7.235968421359e-05	-5.613017977470e-11	5.280696378807e-20	7.238641420739e-05	-5.616674549383e-11	3.556891579782e-20
5.013020833333e+00	6.539098284552e-05	2.320192020329e-05	5.834057694511e-11	5.172147688674e-11	1.696580554658e-20	1.039422686442e-20	4.395896710573e-05	5.496259572056e-11	-6.309716545982e-20	6.541689964207e-05	5.812701537679e-11	1.141365894444e-19	6.533639473057e-05	5.830624278740e-11	5.694546355167e-20	6.536291309704e-05	5.834323449082e-11	4.338228133477e-20
5.104166666667e+00	5.580177751401e-05	1.399037800772e-05	-6.052811799128e-11	-5.377205519508e-11	6.845672107898e-21	-4.029958174849e-22	3.456242947455e-05	-5.708546777507e-11	-7.355132712384e-20	5.582798472402e-05	-6.031554864493e-11	1.042555288505e-19	5.574765909601e-05	-6.049325095496e-11	4.223989221742e-20	5.577396583514e-05	-6.053068214062e-11	3.103556453787e-20
5.195312500000e+00	4.270545882650e-05	1.271722282469e-06	6.272714900809e-11	5.583167868760e-11	7.541752427171e-21	-1.530762176421e-21	2.165877848674e-05	5.921863331618e-11	-7.457976978458e-20	4.273195645008e-05	6.251558681176e-11	1.038149951165e-19	4.265181010547e-05	6.269173500031e-11	3.834923895369e-20	4.267790521727e-05	6.272962025786e-11	2.907911350372e-20
5.286458333333e+00	2.479265483021e-05	-1.626341890818e-05	-6.493821022039e-11	-5.790078849377e-11	-2.802577513405e-20	-3.802420650130e-20	3.938642190674e-06	-6.136258556470e-11	-1.098072719386e-19	2.481944286732e-05	-6.472767602001e-11	7.004397522828e-20	2.473947580622e-05	-6.490223659930e-11	1.622200690857e-22	2.476535929067e-05	-6.494059041498e-11	-8.778967356251e-21
5.377604166667e+00	2.510700879554e-07	-4.042734101824e-05	6.716185545191e-11	5.997983104403e-11	-1.151390443165e-20	-2.311978416267e-20	-2.041027485196e-05	6.351782590959e-11	-9.494917968131e-20	2.781485387165e-07	6.695237159848e-11	8.451104752203e-20	1.983607610251e-07	6.712530660153e-11	1.118679887929e-20	2.240326181432e-07	6.716414487707e-11	3.138747324986e-21
5.468750000000e+00	-3.336321144624e-05	-7.366396007706e-05	-6.939864957459e-11	-6.206926121291e-11	5.303729999730e-21	-8.439895204751e-21	-5.383188868599e-05	-6.568486757242e-11	-7.919927500518e-20	-3.333584258186e-05	-6.919024525357e-11	1.005271280480e-19	-3.341545107605e-05	-6.936151194381e-11	2.483600548811e-20	-3.338999084626e-05	-6.940085031341e-11	1.811076752895e-20
5.559895833333e+00	-7.950692712421e-05	-1.194300134528e-04	7.164916778529e-11	6.416953483724e-11	1.433292236786e-20	-4.984509631002e-22	-9.978293666441e-05	6.786422731060e-11	-7.043703127197e-20	-7.947926784600e-05	7.144187367246e-11	1.078130793799e-19	-7.955869705681e-05	7.161142424454e-11	2.887258092374e-20	-7.953344845434e-05	7.165128003988e-11	2.372392620226e-20
5.651041666667e+00	-1.426612090857e-04	-1.822066332691e-04	-7.391400125292e-11	-6.628112028956e-11	-2.328033372032e-21	-1.703281109770e-20	-1.627445509257e-04	-7.005643870427e-11	-8.683939093361e-20	-1.426332593937e-04	-7.370785557040e-11	8.793669475505e-20	-1.427125093210e-04	-7.387563704221e-11	9.083634378412e-21	-1.426874723459e-04	-7.391602722097e-11	4.035587473938e-21
5.742187500000e+00	-2.293649762068e-04	-2.685327384180e-04	7.619375428752e-11	6.840448909309e-11	2.381840032741e-20	7.563274721289e-21	-2.492556503472e-04	7.226204123185e-11	-6.077740829131e-20	-2.293367361008e-04	7.598879706451e-11	1.119560538926e-19	-2.294158067447e-04	7.615475077418e-11	3.038661253595e-20	-2.293909813969e-04	7.619569423026e-11	2.752283553939e-20
5.833333333333e+00	-3.455299154834e-04	-3.843200158795e-04	-7.848904337958e-11	-7.054011997853e-11	-3.240414135109e-20	-4.808267505053e-20	-3.652279219236e-04	-7.448158662091e-11	-1.143589589112e-19	-3.455013849633e-04	-7.828532288914e-11	5.456394778777e-20	-3.455802763237e-04	-7.844938429550e-11	-2.956982389116e-20	-3.455556626033e-04	-7.849089953276e-11	-3.027231612806e-20
