z_A	PHI_DFT_eV	PHI_py_eV	RHOB_DFT_e_A3	RHOB_py_e_A3	RHOION_DFT_e_A3	RHOION_py_e_A3
4.466145833333e+00	5.823304135813e-01	5.131010141212e+00	4.542749226598e-11	1.468560470777e-08	-1.530717752842e-20	0.000000000000e+00
4.557291666667e+00	5.723345035490e-01	5.116753555006e+00	-4.755693706384e-11	-1.459810807719e-08	-1.306571227429e-20	0.000000000000e+00
4.648437500000e+00	5.588076345037e-01	5.098975359981e+00	4.969481799198e-11	1.400308606552e-08	1.738442365127e-22	0.000000000000e+00
4.739583333333e+00	5.403018792920e-01	5.076212458414e+00	-5.184162163683e-11	-1.447790900687e-08	-3.203664968359e-20	0.000000000000e+00
4.830729166667e+00	5.151880257063e-01	5.046850826974e+00	5.399784602223e-11	1.296527299530e-08	-1.188182413882e-20	0.000000000000e+00
4.921875000000e+00	4.809129398740e-01	5.008322121466e+00	-5.616399298517e-11	-1.476344640391e-08	7.321818736984e-21	0.000000000000e+00
5.013020833333e+00	4.342675113090e-01	4.957432467035e+00	5.834057694511e-11	1.174687359595e-08	1.696580554658e-20	0.000000000000e+00
5.104166666667e+00	3.705847196833e-01	4.889499577583e+00	-6.052811799128e-11	-1.464933113557e-08	6.845672107898e-21	0.000000000000e+00
5.195312500000e+00	2.836108667720e-01	4.798285058172e+00	6.272714900809e-11	1.190245545258e-08	7.541752427171e-21	0.000000000000e+00
5.286458333333e+00	1.646502934096e-01	4.675077900683e+00	-6.493821022039e-11	-1.245273137920e-08	-2.802577513405e-20	0.000000000000e+00
5.377604166667e+00	1.667379469094e-03	4.507857893946e+00	6.716185545191e-11	1.377718500768e-08	-1.151390443165e-20	0.000000000000e+00
5.468750000000e+00	-2.215681455387e-01	4.280379278182e+00	-6.939864957459e-11	-1.028695144889e-08	5.303729999730e-21	0.000000000000e+00
5.559895833333e+00	-5.280127912379e-01	3.969701146315e+00	7.164916778529e-11	1.369550860223e-08	1.433292236786e-20	0.000000000000e+00
